asylum_location_code,gender,age_range,population,year
GEO,m,18-59,5,2020
GEO,m,60+,0,2020
GRC,f,0-4,0,2020
GRC,f,5-11,0,2020
GRC,f,12-17,0,2020
GRC,f,18-59,0,2020
GRC,f,60+,0,2020
GRC,m,0-4,0,2020
GRC,m,5-11,0,2020
GRC,m,12-17,0,2020
GRC,m,18-59,0,2020
GRC,m,60+,0,2020
GRC,f,0-4,0,2020
GRC,f,5-11,0,2020
GRC,f,12-17,0,2020
GRC,f,18-59,0,2020
GRC,f,60+,0,2020
GRC,m,0-4,0,2020
GRC,m,5-11,0,2020
GRC,m,12-17,0,2020
GRC,m,18-59,0,2020
GRC,m,60+,0,2020
HKG,f,0-4,0,2020
HKG,f,5-11,0,2020
HKG,f,12-17,0,2020
HKG,f,18-59,0,2020
HKG,f,60+,0,2020
HKG,m,0-4,0,2020
HKG,m,5-11,5,2020
HKG,m,12-17,0,2020
HKG,m,18-59,5,2020
HKG,m,60+,0,2020
HRV,f,0-4,0,2020
HRV,f,5-11,0,2020
HRV,f,12-17,0,2020
HRV,f,18-59,73,2020
HRV,f,60+,6,2020
HRV,m,0-4,0,2020
HRV,m,5-11,0,2020
HRV,m,12-17,0,2020
HRV,m,18-59,79,2020
HRV,m,60+,6,2020
HRV,f,0-4,0,2020
HRV,f,5-11,0,2020
HRV,f,12-17,0,2020
HRV,f,18-59,28,2020
HRV,f,60+,0,2020
HRV,m,0-4,0,2020
HRV,m,5-11,0,2020
HRV,m,12-17,0,2020
HRV,m,18-59,25,2020
HRV,m,60+,0,2020
HRV,f,0-4,0,2020
HRV,f,5-11,5,2020
HRV,f,12-17,6,2020
HRV,f,18-59,13,2020
HRV,f,60+,0,2020
HRV,m,0-4,0,2020
HRV,m,5-11,8,2020
HRV,m,12-17,0,2020
HRV,m,18-59,22,2020
HRV,m,60+,0,2020
HUN,f,0-4,0,2020
HUN,f,5-11,0,2020
HUN,f,12-17,0,2020
HUN,f,18-59,0,2020
HUN,f,60+,0,2020
HUN,m,0-4,0,2020
HUN,m,5-11,0,2020
HUN,m,12-17,0,2020
HUN,m,18-59,0,2020
HUN,m,60+,0,2020
HUN,f,0-4,0,2020
HUN,f,5-11,0,2020
HUN,f,12-17,0,2020
HUN,f,18-59,0,2020
HUN,f,60+,0,2020
HUN,m,0-4,0,2020
HUN,m,5-11,0,2020
HUN,m,12-17,0,2020
HUN,m,18-59,0,2020
HUN,m,60+,0,2020
IDN,f,0-4,86,2020
IDN,f,5-11,134,2020
IDN,f,12-17,96,2020
IDN,f,18-59,462,2020
IDN,f,60+,33,2020
IDN,m,0-4,81,2020
IDN,m,5-11,163,2020
IDN,m,12-17,172,2020
IDN,m,18-59,495,2020
IDN,m,60+,17,2020
IDN,f,0-4,164,2020
IDN,f,5-11,198,2020
IDN,f,12-17,146,2020
IDN,f,18-59,663,2020
IDN,f,60+,33,2020
IDN,m,0-4,176,2020
IDN,m,5-11,221,2020
IDN,m,12-17,187,2020
IDN,m,18-59,4034,2020
IDN,m,60+,41,2020
IND,f,0-4,242,2020
IND,f,5-11,536,2020
IND,f,12-17,453,2020
IND,f,18-59,1915,2020
IND,f,60+,110,2020
IND,m,0-4,263,2020
IND,m,5-11,605,2020
IND,m,12-17,436,2020
IND,m,18-59,2148,2020
IND,m,60+,149,2020
IND,f,0-4,158,2020
IND,f,5-11,536,2020
IND,f,12-17,578,2020
IND,f,18-59,2665,2020
IND,f,60+,273,2020
IND,m,0-4,206,2020
IND,m,5-11,623,2020
IND,m,12-17,633,2020
IND,m,18-59,2324,2020
IND,m,60+,279,2020
IRL,f,0-4,0,2020
IRL,f,5-11,0,2020
IRL,f,12-17,0,2020
IRL,f,18-59,9,2020
IRL,f,60+,0,2020
IRL,m,0-4,0,2020
IRL,m,5-11,0,2020
IRL,m,12-17,18,2020
IRL,m,18-59,132,2020
IRL,m,60+,0,2020
IRL,f,0-4,0,2020
IRL,f,5-11,0,2020
IRL,f,12-17,6,2020
IRL,f,18-59,16,2020
IRL,f,60+,0,2020
IRL,m,0-4,0,2020
IRL,m,5-11,6,2020
IRL,m,12-17,5,2020
IRL,m,18-59,387,2020
IRL,m,60+,0,2020
IRN,f,0-4,0,2020
IRN,f,5-11,0,2020
IRN,f,12-17,0,2020
IRN,f,18-59,0,2020
IRN,f,60+,0,2020
IRN,m,0-4,0,2020
IRN,m,5-11,0,2020
IRN,m,12-17,0,2020
IRN,m,18-59,0,2020
IRN,m,60+,0,2020
IRQ,f,0-4,0,2020
IRQ,f,5-11,6,2020
IRQ,f,12-17,6,2020
IRQ,f,18-59,19,2020
IRQ,f,60+,6,2020
IRQ,m,0-4,0,2020
IRQ,m,5-11,0,2020
IRQ,m,12-17,9,2020
IRQ,m,18-59,13,2020
IRQ,m,60+,5,2020
IRQ,f,0-4,0,2020
IRQ,f,5-11,5,2020
IRQ,f,12-17,0,2020
IRQ,f,18-59,0,2020
IRQ,f,60+,0,2020
IRQ,m,0-4,0,2020
IRQ,m,5-11,0,2020
IRQ,m,12-17,0,2020
IRQ,m,18-59,6,2020
IRQ,m,60+,0,2020
ISL,f,0-4,0,2020
ISL,f,5-11,0,2020
ISL,f,12-17,0,2020
ISL,f,18-59,0,2020
ISL,f,60+,0,2020
ISL,m,0-4,0,2020
ISL,m,5-11,0,2020
ISL,m,12-17,0,2020
ISL,m,18-59,0,2020
ISL,m,60+,0,2020
ISL,f,0-4,0,2020
ISL,f,5-11,0,2020
ISL,f,12-17,0,2020
ISL,f,18-59,0,2020
ISL,f,60+,0,2020
ISL,m,0-4,0,2020
ISL,m,5-11,0,2020
ISL,m,12-17,0,2020
ISL,m,18-59,0,2020
ISL,m,60+,0,2020
ITA,f,0-4,0,2020
ITA,f,5-11,0,2020
ITA,f,12-17,0,2020
ITA,f,18-59,0,2020
ITA,f,60+,0,2020
ITA,m,0-4,0,2020
ITA,m,5-11,0,2020
ITA,m,12-17,0,2020
ITA,m,18-59,0,2020
ITA,m,60+,0,2020
ITA,f,0-4,0,2020
ITA,f,5-11,0,2020
ITA,f,12-17,0,2020
ITA,f,18-59,0,2020
ITA,f,60+,0,2020
ITA,m,0-4,0,2020
ITA,m,5-11,0,2020
ITA,m,12-17,0,2020
ITA,m,18-59,0,2020
ITA,m,60+,0,2020
JOR,f,0-4,0,2020
JOR,f,5-11,0,2020
JOR,f,12-17,0,2020
JOR,f,18-59,0,2020
JOR,f,60+,0,2020
JOR,m,0-4,0,2020
JOR,m,5-11,0,2020
JOR,m,12-17,5,2020
JOR,m,18-59,6,2020
JOR,m,60+,0,2020
JOR,f,0-4,0,2020
JOR,f,5-11,0,2020
JOR,f,12-17,0,2020
JOR,f,18-59,0,2020
JOR,f,60+,0,2020
JOR,m,0-4,0,2020
JOR,m,5-11,0,2020
JOR,m,12-17,0,2020
JOR,m,18-59,8,2020
JOR,m,60+,0,2020
JPN,f,0-4,0,2020
JPN,f,5-11,0,2020
JPN,f,12-17,0,2020
JPN,f,18-59,0,2020
JPN,f,60+,0,2020
JPN,m,0-4,0,2020
JPN,m,5-11,0,2020
JPN,m,12-17,0,2020
JPN,m,18-59,0,2020
JPN,m,60+,0,2020
KAZ,f,0-4,12,2020
KAZ,f,5-11,9,2020
KAZ,f,12-17,7,2020
KAZ,f,18-59,73,2020
KAZ,f,60+,0,2020
KAZ,m,0-4,12,2020
KAZ,m,5-11,21,2020
KAZ,m,12-17,5,2020
KAZ,m,18-59,54,2020
KAZ,m,60+,5,2020
KAZ,f,0-4,15,2020
KAZ,f,5-11,25,2020
KAZ,f,12-17,29,2020
KAZ,f,18-59,127,2020
KAZ,f,60+,10,2020
KAZ,m,0-4,14,2020
KAZ,m,5-11,27,2020
KAZ,m,12-17,37,2020
KAZ,m,18-59,104,2020
KAZ,m,60+,20,2020
KEN,f,0-4,0,2020
KEN,f,5-11,0,2020
KEN,f,12-17,0,2020
KEN,f,18-59,0,2020
KEN,f,60+,0,2020
KEN,m,0-4,0,2020
KEN,m,5-11,0,2020
KEN,m,12-17,0,2020
KEN,m,18-59,8,2020
KEN,m,60+,0,2020
KEN,f,0-4,0,2020
KEN,f,5-11,0,2020
KEN,f,12-17,5,2020
KEN,f,18-59,0,2020
KEN,f,60+,0,2020
KEN,m,0-4,0,2020
KEN,m,5-11,0,2020
KEN,m,12-17,6,2020
KEN,m,18-59,0,2020
